NEAQ ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,Sig Features,whaleimage,tailimage,lefthead,righthead
3750,,Y,2,N,N,,B long coam w isl,B long coam w isl,,3750.jpg,3750_T.jpg,3750-left.jpg,3750-right.jpg
3810,,N,1,N,N,C 2 pen R for,C 1 pen,C 1 pen,,3810.jpg,3810_T.jpg,3810-left.jpg,3810-right.jpg
3812,Nimbus,Y,2,Y,Y,,B no isl,B 1 isl,,3812-Nimbus.jpg,3812-Nimbus_T.jpg,3812-Nimbus-left.jpg,right-nohead.jpg
3823,Sundog,Y,1,N,N,,B fused isl,B long coam w isl,callosity - scar,3823-Sundog.jpg,3823-Sundog_T.jpg,3823-Sundog-left.jpg,3823-Sundog-right.jpg
3823,Sundog,Y,2,N,N,,B fused isl,B long coam w isl,callosity - scar,3823-Sundog.jpg,3823-Sundog_T.jpg,3823-Sundog-left.jpg,3823-Sundog-right.jpg
3843,,N,2,N,N,C 2 pen L for,C 0 or 1 pen,C 0 or 1 pen,,3843.jpg,3843_T.jpg,3843-left.jpg,3843-right.jpg
3845,Mogul,N,2,Y,Y,,C isl,C isl,,3845-Mogul.jpg,3845-Mogul_T.jpg,3845-Mogul-left.jpg,3845-Mogul-right.jpg
3860,Bocce,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,2021 mom,3860-Bocce.jpg,3860-Bocce_T.jpg,3860-Bocce-left.jpg,3860-Bocce-right.jpg
3860,Bocce,Y,4,N,N,B any 4 asym,B 2 isl,B 2 isl,2021 mom,3860-Bocce.jpg,3860-Bocce_T.jpg,3860-Bocce-left.jpg,3860-Bocce-right.jpg
3890,Babushka,Y,3,N,N,B 2 isl R for,B fused isl,B 1 isl,,3890-Babushka.jpg,3890-Babushka_T.jpg,3890-Babushka-left.jpg,3890-Babushka-right.jpg
3892,,Y,2,N,N,,B no isl,B no isl,,3892.jpg,3892_T.jpg,3892-left.jpg,3892-right.jpg
3904,Champagne,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,2021 mom,3904-Champagne.jpg,3904-Champagne_T.jpg,3904-Champagne-left.jpg,3904-Champagne-right.jpg
3904,Champagne,Y,2,N,N,B any 4 asym,B 2 isl,B fused isl,2021 mom,3904-Champagne.jpg,3904-Champagne_T.jpg,3904-Champagne-left.jpg,3904-Champagne-right.jpg
3912,Sickle,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,coam - scar beside right,3912.jpg,3912_T.jpg,3912-Sickle-left.jpg,3912-Sickle-right.jpg
3940,Koala,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,callosity - scar,3940-Koala.jpg,3940-Koala_T.jpg,3940-Koala-left.jpg,3940-Koala-right.jpg
3942,,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,coam - scar; 2021 mom,3942.jpg,3942_T.jpg,3942-left.jpg,3942-right.jpg
3946,,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,,3946.jpg,3946_T.jpg,3946-left.jpg,3946-right.jpg
3960,,Y,2,N,N,,B no isl,B no isl,,3960.jpg,3960_T.jpg,3960-left.jpg,3960-right.jpg
3981,,N,2,Y,Y,,C no pen,C no pen,,3981.jpg,3981_T.jpg,3981-left.jpg,3981-right.jpg
3989,,N,2,N,Y,C 1 sym,C 1 pen,C 1 pen,,3989.jpg,3989_T.jpg,3989-left.jpg,3989-right.jpg
3992,,N,2,N,N,,C 1 pen,C isl,,3992.jpg,3992_T.jpg,left-nohead.jpg,3992-right.jpg
3992,,Y,2,N,N,,B long pen coam,B long coam w isl,,3992.jpg,3992_T.jpg,left-nohead.jpg,3992-right.jpg
4040,Chiminea,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,2021 mom,4040-Chiminea.jpg,4040-Chiminea_T.jpg,4040-Chiminea-left.jpg,4040-Chiminea-right.jpg
4042,,Y,2,N,N,B 2 isl L for,B 2 isl,B 1 isl,,4042.jpg,4042_T.jpg,4042-left.jpg,4042-right.jpg
4057,FDR,N,2,Y,Y,,C 0 or 1 pen,C 2 pen,callosity - scar,4057-FDR.jpg,4057-FDR_T.jpg,left-nohead.jpg,right-nohead.jpg
4092,Flare,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,callosity - scar,4092-Flare.jpg,4092-Flare_T.jpg,4092-Flare-left.jpg,4092-Flare-right.jpg
4094,Mayport,Y,2,Y,Y,,B long pen coam,B long pen coam,back - scar large patch,4094-Mayport.jpg,4094-Mayport_T.jpg,left-nohead.jpg,right-nohead.jpg
4123,,N,2,N,Y,C 2 pen L for,C 1 pen,C 1 pen,,4123.jpg,4123_T.jpg,4123-left.jpg,4123-right.jpg
4129,,Y,2,N,Y,,B no isl,B 1 isl,,4129.jpg,4129_T.jpg,4129-left.jpg,4129-right.jpg
4130,,N,2,N,N,,C 1 pen,C 1 pen,,4130.jpg,4130_T.jpg,4130-left.jpg,4130-right.jpg
4140,Casper,Y,1,N,N,B 2 isl L for,B 2 isl,B 1 isl,back - line scar,4140-Casper.jpg,4140-Casper_T.jpg,4140-Casper-left.jpg,4140-Casper-right.jpg
4140,Casper,Y,2,N,N,B 2 isl L for,B 2 isl,B 1 isl,back - line scar,4140-Casper.jpg,4140-Casper_T.jpg,4140-Casper-left.jpg,4140-Casper-right.jpg
4180,,Y,2,N,N,,B long coam w isl,B long coam w isl,2022 mom,4180.jpg,4180_T.jpg,4180-left.jpg,4180-right.jpg
